-479.61,202.69
-479.6,202.7
-479.6,202.7
-479.59,202.7
-479.58,202.7
-479.48,202.66
-478.89,202.42
-477.54,201.82
-475.53,200.95
-473.34,199.98
-470.87,198.9
-468.11,197.69
-464.7,196.21
-461.24,194.72
-457.26,192.99
-453.42,191.32
-450.18,189.86
-446.94,188.42
-443.41,186.85
-440.54,185.59
-436.56,183.85
-433.64,182.56
-430.79,181.29
-427.38,179.74
-424.22,178.37
-421.26,177.07
-418.43,175.83
-415.65,174.63
-413.29,173.62
-409.9,172.2
-407.47,171.18
-405.25,170.25
-403.04,169.33
-400.42,168.26
-397.91,167.23
-395.18,166.09
-392.41,164.93
-389.79,163.82
-387.3,162.79
-384.75,161.74
-381.64,160.44
-378.78,159.25
-375.83,158.02
-373.04,156.84
-369.9,155.55
-366.92,154.31
-363.91,153.03
-360.98,151.8
-358.43,150.74
-355.43,149.49
-352.12,148.07
-349.23,146.81
-346.11,145.47
-342.93,144.1
-339.57,142.67
-336.55,141.39
-333.33,140.01
-330.14,138.62
-327.21,137.36
-324.04,135.99
-320.88,134.61
-317.44,133.11
-314.62,131.9
-311.95,130.75
-309.29,129.63
-306.74,128.59
-304.25,127.55
-301.8,126.47
-299.32,125.28
-296.89,123.98
-294.65,122.68
-292.33,121.23
-290.02,119.67
-287.7,118.01
-285.15,116.1
-282.51,114.12
-280.06,112.29
-277.58,110.45
-275.15,108.65
-272.67,106.83
-269.96,104.87
-267.49,103.1
-264.58,101.03
-262.01,99.19
-259.42,97.32
-256.98,95.57
-254.28,93.68
-251.83,92.01
-249.41,90.38
-246.86,88.67
-244.11,86.81
-241.33,84.93
-238.32,82.92
-235.03,80.74
-231.72,78.54
-228.49,76.37
-225.75,74.57
-223.1,72.81
-220.5,71.07
-217.51,69.08
-214.7,67.19
-211.64,65.11
-209.67,63.73
-208.07,62.62
-207.03,61.9
-206.39,61.46
-205.95,61.15
-205.94,61.14
-205.92,61.1
-205.91,61.12
-205.9,61.13
-205.89,61.13
-205.89,61.13
-205.89,61.12
-205.89,61.12
-205.89,61.12
-205.89,61.12
-205.89,61.11
-205.89,61.11
-205.89,61.12
-205.89,61.12
-205.89,61.13
-205.89,61.13
