Time[s],5651::Alt_Heading::Heading[Degrees],,Time[s],5651::mixed_position::Lat[Degrees],,Time[s],5651::mixed_position::Lon[Degrees]
0.793550,357.0600000,,0.793780,40.0096041,,0.793780,116.3802654
0.803560,357.0600000,,0.803800,40.0096053,,0.803800,116.3802653
0.813550,357.0600000,,0.813780,40.0096066,,0.813780,116.3802652
0.823560,357.0600000,,0.823790,40.0096078,,0.823790,116.3802651
0.833560,357.0500000,,0.833780,40.0096091,,0.833780,116.3802651
0.843560,357.0500000,,0.843790,40.0096104,,0.843790,116.3802650
0.853560,357.0500000,,0.853790,40.0096116,,0.853790,116.3802649
0.863560,357.0500000,,0.863790,40.0096129,,0.863790,116.3802648
0.874680,357.0500000,,0.874910,40.0096142,,0.874910,116.3802647
0.884130,357.0500000,,0.884360,40.0096154,,0.884360,116.3802646
0.894210,357.0400000,,0.894440,40.0096167,,0.894440,116.3802646
0.903560,357.0400000,,0.903790,40.0096180,,0.903790,116.3802645
0.913550,357.0400000,,0.913780,40.0096192,,0.913780,116.3802644
0.923550,357.0400000,,0.923780,40.0096205,,0.923780,116.3802643
0.933570,357.0400000,,0.933800,40.0096217,,0.933800,116.3802642
0.943540,357.0300000,,0.943770,40.0096230,,0.943770,116.3802641
0.953540,357.0300000,,0.953770,40.0096243,,0.953770,116.3802641
0.963540,357.0300000,,0.963780,40.0096255,,0.963780,116.3802640
0.974680,357.0300000,,0.974910,40.0096268,,0.974910,116.3802639
0.983540,357.0300000,,0.983770,40.0096281,,0.983770,116.3802638
0.993540,357.0200000,,0.993770,40.0096293,,0.993770,116.3802637
1.003540,357.0200000,,1.003770,40.0096306,,1.003770,116.3802636
1.013540,357.0200000,,1.013770,40.0096319,,1.013770,116.3802635
1.023530,357.0300000,,1.023760,40.0096331,,1.023760,116.3802635
1.033540,357.0200000,,1.033770,40.0096344,,1.033770,116.3802634
1.043530,357.0200000,,1.043760,40.0096357,,1.043760,116.3802633
1.053530,357.0200000,,1.053760,40.0096369,,1.053760,116.3802632
1.063540,357.0200000,,1.063770,40.0096382,,1.063770,116.3802631
1.074660,357.0200000,,1.074900,40.0096395,,1.074900,116.3802630
1.084000,357.0200000,,1.084230,40.0096407,,1.084230,116.3802629
1.094190,357.0200000,,1.094420,40.0096420,,1.094420,116.3802629
1.103540,357.0200000,,1.103770,40.0096433,,1.103770,116.3802628
1.113530,357.0200000,,1.113760,40.0096445,,1.113760,116.3802627
1.123530,357.0200000,,1.123760,40.0096458,,1.123760,116.3802626
1.133530,357.0200000,,1.133760,40.0096471,,1.133760,116.3802625
1.143530,357.0200000,,1.143760,40.0096483,,1.143760,116.3802624
1.153530,357.0200000,,1.153770,40.0096496,,1.153770,116.3802624
1.163520,357.0200000,,1.163760,40.0096508,,1.163760,116.3802623
1.174660,357.0200000,,1.174890,40.0096521,,1.174890,116.3802622
1.183510,357.0200000,,1.183740,40.0096534,,1.183740,116.3802621
1.193510,357.0300000,,1.193750,40.0096546,,1.193750,116.3802620
1.203520,357.0300000,,1.203760,40.0096559,,1.203760,116.3802619
1.213510,357.0200000,,1.213740,40.0096572,,1.213740,116.3802618
1.223520,357.0200000,,1.223750,40.0096584,,1.223750,116.3802618
1.233510,357.0200000,,1.233750,40.0096597,,1.233750,116.3802617
1.243520,357.0300000,,1.243750,40.0096610,,1.243750,116.3802616
1.253520,357.0300000,,1.253750,40.0096622,,1.253750,116.3802615
1.263510,357.0300000,,1.263740,40.0096635,,1.263740,116.3802614
1.274660,357.0400000,,1.274890,40.0096647,,1.274890,116.3802613
1.283880,357.0400000,,1.284110,40.0096660,,1.284110,116.3802612
1.294020,357.0300000,,1.294250,40.0096673,,1.294250,116.3802612
1.303520,357.0400000,,1.303750,40.0096685,,1.303750,116.3802611
1.313530,357.0400000,,1.313760,40.0096698,,1.313760,116.3802610
1.323540,357.0400000,,1.323770,40.0096710,,1.323770,116.3802609
1.333510,357.0300000,,1.333750,40.0096723,,1.333750,116.3802608
1.343520,357.0300000,,1.343750,40.0096735,,1.343750,116.3802607
