0.034,646.1,582.1,357.24
0.044,646.091,582.233,357.24
0.054,646.083,582.378,357.24
0.064,646.074,582.511,357.24
0.075,646.074,582.655,357.24
0.084,646.066,582.799,357.23
0.095,646.057,582.933,357.23
0.104,646.049,583.077,357.23
0.114,646.04,583.21,357.23
0.124,646.04,583.354,357.23
0.134,646.032,583.487,357.23
0.144,646.023,583.632,357.22
0.154,646.015,583.765,357.22
0.164,646.015,583.909,357.21
0.175,646.006,584.054,357.21
0.184,645.998,584.187,357.22
0.194,645.989,584.331,357.21
0.204,645.981,584.464,357.21
0.214,645.981,584.609,357.2
0.224,645.972,584.742,357.2
0.234,645.964,584.886,357.2
0.244,645.955,585.03,357.2
0.254,645.955,585.164,357.2
0.264,645.947,585.308,357.19
0.275,645.938,585.441,357.2
0.284,645.93,585.585,357.2
0.294,645.93,585.73,357.19
0.304,645.921,585.863,357.19
0.314,645.913,586.007,357.19
0.324,645.904,586.152,357.18
0.334,645.904,586.285,357.18
0.344,645.896,586.429,357.18
0.354,645.887,586.562,357.18
0.364,645.879,586.707,357.18
0.375,645.879,586.851,357.17
0.384,645.87,586.984,357.17
0.394,645.862,587.128,357.16
0.404,645.853,587.273,357.16
0.414,645.853,587.406,357.16
0.424,645.845,587.55,357.16
0.434,645.836,587.694,357.15
0.444,645.828,587.828,357.15
0.454,645.828,587.972,357.14
0.464,645.819,588.105,357.14
0.475,645.811,588.249,357.14
0.484,645.802,588.394,357.14
0.495,645.802,588.527,357.13
0.504,645.794,588.671,357.13
0.514,645.785,588.815,357.13
0.524,645.777,588.949,357.12
0.534,645.768,589.093,357.13
0.544,645.768,589.226,357.12
0.554,645.76,589.37,357.12
0.564,645.751,589.515,357.11
0.575,645.743,589.648,357.11
0.584,645.734,589.792,357.11
0.594,645.734,589.925,357.11
0.604,645.726,590.07,357.11
0.614,645.717,590.214,357.1
0.624,645.709,590.347,357.1
0.634,645.7,590.492,357.1
0.644,645.7,590.625,357.1
0.654,645.692,590.769,357.09
0.664,645.683,590.913,357.09
0.675,645.675,591.047,357.08
0.684,645.666,591.191,357.08
0.694,645.658,591.324,357.08
0.704,645.658,591.468,357.08
0.714,645.649,591.613,357.07
0.724,645.641,591.746,357.07
0.734,645.632,591.89,357.07
0.744,645.624,592.023,357.07
0.754,645.615,592.168,357.07
0.764,645.615,592.312,357.06
0.775,645.607,592.445,357.06
0.784,645.598,592.59,357.06
0.794,645.59,592.734,357.06
0.804,645.581,592.867,357.06
0.814,645.573,593.011,357.06
0.824,645.564,593.144,357.06
0.834,645.564,593.289,357.05
0.844,645.556,593.433,357.05
0.854,645.547,593.566,357.05
0.864,645.539,593.711,357.05
0.875,645.53,593.855,357.05
0.884,645.522,593.988,357.05
0.894,645.522,594.132,357.04
0.904,645.513,594.277,357.04
0.914,645.505,594.41,357.04
0.924,645.496,594.554,357.04
0.934,645.488,594.687,357.04
0.944,645.479,594.832,357.03
0.954,645.479,594.976,357.03
0.964,645.471,595.109,357.03
0.975,645.462,595.253,357.03
0.984,645.454,595.398,357.03
0.994,645.445,595.531,357.02
1.004,645.437,595.675,357.02
1.014,645.428,595.82,357.02
1.024,645.428,595.953,357.03
1.034,645.42,596.097,357.02
1.044,645.411,596.241,357.02
1.054,645.403,596.375,357.02
1.064,645.394,596.519,357.02
1.075,645.386,596.663,357.02
1.084,645.377,596.796,357.02
1.094,645.377,596.941,357.02
1.104,645.369,597.085,357.02
1.114,645.36,597.218,357.02
1.124,645.352,597.363,357.02
1.134,645.343,597.507,357.02
1.144,645.335,597.64,357.02
1.154,645.335,597.784,357.02
1.164,645.326,597.918,357.02
1.175,645.318,598.062,357.02
1.184,645.309,598.206,357.02
1.194,645.301,598.339,357.03
1.204,645.292,598.484,357.03
1.214,645.284,598.628,357.02
1.224,645.284,598.761,357.02
1.234,645.275,598.905,357.02
1.244,645.267,599.05,357.03
1.254,645.258,599.183,357.03
1.264,645.25,599.327,357.03
1.275,645.241,599.46,357.04
1.284,645.233,599.605,357.04
1.294,645.233,599.749,357.03
1.304,645.224,599.882,357.04
1.314,645.216,600.026,357.04
1.324,645.207,600.16,357.04
1.334,645.199,600.304,357.03
1.344,645.19,600.437,357.03
1.354,645.182,600.581,357.03
1.364,645.173,600.726,357.03
1.375,645.165,600.859,357.03
1.384,645.156,601.003,357.03
1.394,645.148,601.137,357.03
1.404,645.139,601.281,357.03
1.414,645.131,601.414,357.04
1.424,645.122,601.558,357.04
1.434,645.114,601.703,357.04
1.444,645.105,601.836,357.03
1.454,645.097,601.98,357.03
1.464,645.088,602.113,357.04
1.475,645.08,602.258,357.04
1.484,645.08,602.391,357.04
1.494,645.071,602.535,357.04
1.504,645.063,602.679,357.04
1.514,645.054,602.813,357.04
1.524,645.046,602.957,357.04
1.534,645.037,603.09,357.04
1.544,645.029,603.234,357.04
1.554,645.02,603.379,357.04
1.564,645.012,603.512,357.04
1.575,645.003,603.656,357.05
1.584,645.003,603.8,357.05
1.594,644.995,603.934,357.05
1.604,644.986,604.078,357.05
1.614,644.978,604.211,357.05
1.624,644.969,604.355,357.05
